nbhId,neighbourhood_group,Price,Cleaning Fee,Extra People Fee
Bayswater,Manhattan,74.11 ,22.14 ,25.78 
Allerton,Manhattan,89.29 ,42.19 ,15.61 
City Island,Brooklyn,107.46 ,43.33 ,16.85 
Ditmars Steinway,Brooklyn,99.20 ,45.04 ,15.48 
Ozone Park,Brooklyn,89.76 ,67.59 ,10.42 
Fordham,Manhattan,63.91 ,18.84 ,13.26 
Whitestone,Manhattan,101.82 ,93.40 ,10.17 
Arden Heights,Manhattan,58.00 ,32.50 ,22.50 
Arrochar,Brooklyn,109.50 ,53.42 ,14.50 
Arverne,Manhattan,157.19 ,62.92 ,25.53 
Bay Ridge,Manhattan,107.11 ,49.36 ,12.83 
Belmont,Manhattan,70.70 ,47.50 ,3.26 
Gerritsen Beach,Brooklyn,82.50 ,54.75 ,26.25 
Port Ivory,0.00 ,0.00 ,0.00 ,0.00 
Soundview,Manhattan,45.40 ,24.38 ,5.30 
Astoria,Manhattan,100.28 ,47.37 ,12.86 
Bath Beach,Brooklyn,78.79 ,57.17 ,13.50 
Bayside,Brooklyn,122.19 ,54.93 ,14.72 
Battery Park City,Manhattan,234.46 ,112.30 ,9.72 
Bay Terrace,Brooklyn,119.40 ,7.50 ,12.00 
"Bay Terrace, Staten Island",Manhattan,150.00 ,150.00 ,20.00 
Baychester,Brooklyn,71.17 ,32.50 ,4.17 
Bayswater,Manhattan,74.11 ,22.14 ,25.78 
Bedford-Stuyvesant,Brooklyn,100.13 ,54.99 ,15.40 
Belle Harbor,Manhattan,203.14 ,67.00 ,7.14 
Bellerose,Manhattan,81.00 ,36.11 ,32.73 
Bensonhurst,Brooklyn,76.63 ,50.35 ,14.09 
Bergen Beach,Manhattan,110.00 ,37.78 ,24.23 
Bloomfield,0.00 ,0.00 ,0.00 ,0.00 
Boerum Hill,Manhattan,167.38 ,70.25 ,17.49 
Borough Park,Manhattan,68.17 ,29.03 ,9.46 
Brighton Beach,Manhattan,99.03 ,48.63 ,12.23 
Prospect-Lefferts Gardens,Manhattan,97.99 ,52.17 ,12.54 
