index,neighbourhood,Nightlife,Bars,Lounges,American (New),American (Traditional),Pubs
0,Bayswater,0.0,0.0,0.0,0.0,0.0,0.0
1,Allerton,2.0,2.0,0.0,0.0,1.0,0.0
2,City Island,5.0,3.0,0.0,1.0,3.0,2.0
3,Ditmars Steinway,45.0,37.0,3.0,3.0,2.0,3.0
4,Ozone Park,21.0,13.0,7.0,0.0,0.0,2.0
5,Fordham,9.0,5.0,1.0,0.0,0.0,1.0
6,Whitestone,8.0,4.0,0.0,0.0,1.0,3.0
7,Arden Heights,3.0,3.0,0.0,1.0,0.0,0.0
8,Arrochar,1.0,1.0,1.0,0.0,0.0,0.0
9,Arverne,0.0,0.0,0.0,0.0,0.0,0.0
10,Bay Ridge,39.0,30.0,5.0,0.0,6.0,4.0
11,Belmont,13.0,9.0,2.0,3.0,2.0,1.0
12,Gerritsen Beach,3.0,2.0,0.0,1.0,0.0,1.0
13,Port Ivory,0.0,0.0,0.0,0.0,0.0,0.0
14,Soundview,4.0,2.0,0.0,0.0,0.0,0.0
15,Astoria,145.0,110.0,24.0,16.0,17.0,13.0
16,Bath Beach,5.0,2.0,2.0,0.0,0.0,1.0
17,Bayside,26.0,18.0,2.0,3.0,4.0,1.0
18,Battery Park City,9.0,9.0,1.0,1.0,1.0,0.0
19,Bay Terrace,3.0,2.0,0.0,0.0,1.0,0.0
20,"Bay Terrace, Staten Island",0.0,0.0,0.0,0.0,0.0,0.0
21,Baychester,3.0,2.0,1.0,0.0,0.0,0.0
22,Bayswater,0.0,0.0,0.0,0.0,0.0,0.0
23,Bedford-Stuyvesant,73.0,53.0,5.0,6.0,7.0,2.0
24,Belle Harbor,4.0,1.0,0.0,0.0,0.0,1.0
25,Bellerose,7.0,6.0,0.0,0.0,2.0,1.0
26,Bensonhurst,5.0,2.0,0.0,0.0,0.0,0.0
27,Bergen Beach,0.0,0.0,0.0,0.0,0.0,0.0
28,Bloomfield,0.0,0.0,0.0,0.0,0.0,0.0
29,Boerum Hill,22.0,11.0,1.0,2.0,1.0,5.0
30,Borough Park,12.0,1.0,0.0,0.0,0.0,0.0
31,Brighton Beach,16.0,8.0,3.0,0.0,4.0,0.0
32,Prospect-Lefferts Gardens,13.0,12.0,0.0,1.0,1.0,0.0
33,Mott Haven,9.0,6.0,1.0,0.0,2.0,1.0
34,Bronxdale,2.0,1.0,0.0,0.0,0.0,1.0
35,Breezy Point,0.0,0.0,0.0,0.0,0.0,0.0
36,Briarwood,2.0,2.0,1.0,0.0,0.0,0.0
37,Brooklyn Heights,21.0,15.0,1.0,3.0,5.0,1.0
38,Brownsville,1.0,1.0,0.0,0.0,0.0,0.0
39,Bull's Head,7.0,5.0,1.0,0.0,3.0,1.0
40,Bushwick,102.0,88.0,7.0,9.0,7.0,2.0
41,Cambria Heights,4.0,2.0,2.0,0.0,0.0,0.0
42,"Chelsea, Staten Island",5.0,3.0,1.0,1.0,0.0,0.0
43,Chinatown,42.0,30.0,7.0,1.0,2.0,0.0
44,City Island,5.0,3.0,0.0,1.0,3.0,2.0
45,Cypress Hills,17.0,7.0,5.0,0.0,0.0,0.0
46,Canarsie,2.0,2.0,0.0,0.0,0.0,0.0
47,Carroll Gardens,29.0,27.0,3.0,1.0,2.0,1.0
48,Castle Hill,0.0,0.0,0.0,0.0,0.0,0.0
49,Castleton Corners,4.0,1.0,0.0,0.0,1.0,2.0
50,Grant City,4.0,2.0,1.0,0.0,0.0,0.0
51,Charleston,4.0,2.0,0.0,0.0,2.0,0.0
52,Chelsea,169.0,92.0,21.0,19.0,7.0,7.0
53,Civic Center,1.0,0.0,0.0,0.0,0.0,0.0
54,Claremont Village,1.0,0.0,1.0,0.0,0.0,0.0
55,Clason Point,2.0,1.0,1.0,0.0,1.0,0.0
56,Clifton,3.0,2.0,0.0,0.0,1.0,0.0
57,Clinton Hill,27.0,18.0,3.0,7.0,0.0,2.0
58,Co-op City,4.0,1.0,1.0,0.0,1.0,0.0
59,Cobble Hill,11.0,9.0,2.0,0.0,1.0,0.0
60,College Point,7.0,4.0,1.0,0.0,1.0,1.0
61,Crown Heights,54.0,41.0,12.0,2.0,3.0,2.0
62,Columbia St,7.0,6.0,0.0,0.0,1.0,0.0
63,Concord,0.0,0.0,0.0,0.0,0.0,0.0
64,Concourse,18.0,15.0,2.0,1.0,3.0,1.0
65,Concourse Village,3.0,0.0,2.0,0.0,0.0,0.0
