index,neighbourhood,Restaurant,Delis,Pizza,Chinese,Sandwiches,Italian
0,Bayswater,5.0,0.0,2.0,3.0,0.0,0.0
1,Allerton,79.0,11.0,13.0,10.0,11.0,1.0
2,City Island,39.0,6.0,1.0,1.0,4.0,2.0
3,Ditmars Steinway,155.0,23.0,20.0,11.0,14.0,19.0
4,Ozone Park,139.0,26.0,21.0,22.0,21.0,8.0
5,Fordham,177.0,19.0,28.0,18.0,19.0,1.0
6,Whitestone,57.0,10.0,9.0,6.0,9.0,13.0
7,Arden Heights,14.0,2.0,3.0,1.0,2.0,5.0
8,Arrochar,30.0,4.0,5.0,3.0,4.0,6.0
9,Arverne,14.0,3.0,2.0,1.0,3.0,1.0
10,Bay Ridge,233.0,24.0,22.0,23.0,18.0,15.0
11,Belmont,106.0,13.0,13.0,7.0,5.0,22.0
12,Gerritsen Beach,14.0,3.0,2.0,1.0,3.0,0.0
13,Port Ivory,0.0,0.0,0.0,0.0,0.0,0.0
14,Soundview,73.0,7.0,8.0,7.0,12.0,0.0
15,Astoria,511.0,63.0,55.0,27.0,55.0,30.0
16,Bath Beach,97.0,7.0,11.0,17.0,7.0,7.0
17,Bayside,193.0,15.0,15.0,28.0,17.0,15.0
18,Battery Park City,67.0,1.0,5.0,3.0,5.0,6.0
19,Bay Terrace,19.0,1.0,4.0,1.0,4.0,5.0
20,"Bay Terrace, Staten Island",6.0,1.0,2.0,0.0,0.0,3.0
21,Baychester,24.0,5.0,3.0,3.0,4.0,1.0
22,Bayswater,5.0,0.0,2.0,3.0,0.0,0.0
23,Bedford-Stuyvesant,447.0,66.0,49.0,38.0,51.0,7.0
24,Belle Harbor,3.0,0.0,1.0,0.0,0.0,1.0
25,Bellerose,52.0,6.0,7.0,6.0,5.0,2.0
26,Bensonhurst,150.0,26.0,25.0,30.0,10.0,8.0
27,Bergen Beach,14.0,1.0,1.0,1.0,0.0,2.0
28,Bloomfield,0.0,0.0,0.0,0.0,0.0,0.0
29,Boerum Hill,88.0,16.0,7.0,3.0,11.0,3.0
30,Borough Park,328.0,38.0,41.0,69.0,31.0,7.0
31,Brighton Beach,58.0,2.0,5.0,3.0,4.0,0.0
32,Prospect-Lefferts Gardens,137.0,16.0,14.0,11.0,14.0,5.0
33,Mott Haven,135.0,18.0,13.0,12.0,12.0,8.0
34,Bronxdale,29.0,3.0,1.0,4.0,1.0,0.0
35,Breezy Point,0.0,0.0,0.0,0.0,0.0,0.0
36,Briarwood,46.0,8.0,6.0,7.0,5.0,2.0
37,Brooklyn Heights,70.0,3.0,10.0,2.0,8.0,12.0
38,Brownsville,140.0,29.0,18.0,13.0,21.0,2.0
39,Bull's Head,46.0,3.0,8.0,4.0,6.0,4.0
40,Bushwick,400.0,61.0,30.0,34.0,38.0,12.0
41,Cambria Heights,27.0,1.0,0.0,7.0,1.0,0.0
42,"Chelsea, Staten Island",14.0,2.0,2.0,0.0,1.0,1.0
43,Chinatown,299.0,6.0,7.0,106.0,10.0,5.0
