neighbourhood,Offense Report,FELONY,MISDEMEANOR,VIOLATION
Bayswater,1708,621.0,790.0,297.0
Allerton,5361,1230.0,3435.0,696.0
City Island,354,88.0,205.0,61.0
Ditmars Steinway,3535,1045.0,1969.0,521.0
Ozone Park,5665,1986.0,2926.0,753.0
Fordham,16332,4674.0,9749.0,1909.0
Whitestone,1582,569.0,731.0,282.0
Arden Heights,891,206.0,470.0,215.0
Arrochar,1218,253.0,674.0,291.0
Arverne,2158,770.0,1012.0,376.0
Bay Ridge,5085,1355.0,2997.0,733.0
Belmont,7279,2180.0,4261.0,838.0
Gerritsen Beach,407,155.0,188.0,64.0
Port Ivory,12,4.0,8.0,0.0
Soundview,7790,2090.0,4680.0,1020.0
Astoria,9216,2746.0,5132.0,1338.0
Bath Beach,2894,826.0,1659.0,409.0
Bayside,3421,1396.0,1593.0,432.0
Battery Park City,525,166.0,277.0,82.0
Bay Terrace,590,223.0,244.0,123.0
"Bay Terrace, Staten Island",456,96.0,238.0,122.0
Baychester,1790,523.0,1062.0,205.0
Bayswater,1708,621.0,790.0,297.0
Bedford-Stuyvesant,30660,10829.0,15463.0,4368.0
Belle Harbor,282,79.0,154.0,49.0
Bellerose,1540,619.0,657.0,264.0
Bensonhurst,5308,1641.0,2848.0,819.0
Bergen Beach,822,281.0,442.0,99.0
Bloomfield,142,40.0,87.0,15.0
Boerum Hill,1774,610.0,919.0,245.0
Borough Park,6789,2215.0,3754.0,820.0
Brighton Beach,5092,1651.0,2760.0,681.0
Prospect-Lefferts Gardens,6622,2155.0,3442.0,1025.0
Mott Haven,13255,3350.0,8299.0,1606.0
Bronxdale,1612,401.0,1019.0,192.0
Breezy Point,197,82.0,97.0,18.0
Briarwood,1619,533.0,846.0,240.0
Brooklyn Heights,1461,496.0,789.0,176.0
Brownsville,15927,5170.0,8270.0,2487.0
Bull's Head,1335,311.0,766.0,258.0
Bushwick,14965,5624.0,7596.0,1745.0
Cambria Heights,1837,744.0,827.0,266.0
"Chelsea, Staten Island",297,96.0,160.0,41.0
Chinatown,2321,706.0,1411.0,204.0
City Island,354,88.0,205.0,61.0
Cypress Hills,8770,3131.0,4565.0,1074.0
Canarsie,10362,3561.0,4981.0,1820.0
Carroll Gardens,1595,533.0,896.0,166.0
Castle Hill,2094,559.0,1229.0,306.0
Castleton Corners,967,224.0,539.0,204.0
Grant City,241,49.0,141.0,51.0
Charleston,251,73.0,142.0,36.0
Chelsea,12946,4545.0,7256.0,1145.0
Civic Center,1089,368.0,583.0,138.0
Claremont Village,6749,1707.0,4185.0,857.0
Clason Point,2928,758.0,1671.0,499.0
Clifton,1965,442.0,1078.0,445.0
Clinton Hill,2713,1038.0,1365.0,310.0
Co-op City,3573,833.0,2316.0,424.0
Cobble Hill,765,305.0,395.0,65.0
College Point,2178,668.0,1166.0,344.0
Crown Heights,23115,7523.0,12095.0,3497.0
Columbia St,402,148.0,217.0,37.0
Concord,807,189.0,492.0,126.0
Concourse,5840,1636.0,3630.0,574.0
Concourse Village,6581,1815.0,3843.0,923.0
Coney Island,5045,1628.0,2611.0,806.0
Corona,4381,1464.0,2334.0,583.0
