index,neighbourhood,Shopping,Women's Clothing,Jewelry,Accessories,Drugstores,Shoe Stores
0,Bayswater,3.0,0.0,0.0,0.0,1.0,0.0
1,Allerton,36.0,2.0,3.0,2.0,11.0,2.0
2,City Island,10.0,1.0,3.0,1.0,0.0,0.0
3,Ditmars Steinway,57.0,5.0,8.0,3.0,10.0,3.0
4,Ozone Park,64.0,3.0,8.0,2.0,15.0,2.0
5,Fordham,191.0,24.0,32.0,8.0,27.0,29.0
6,Whitestone,41.0,4.0,2.0,3.0,8.0,4.0
7,Arden Heights,2.0,0.0,0.0,0.0,1.0,0.0
8,Arrochar,8.0,0.0,2.0,0.0,1.0,0.0
9,Arverne,6.0,0.0,0.0,0.0,2.0,0.0
10,Bay Ridge,115.0,18.0,24.0,7.0,15.0,5.0
11,Belmont,43.0,1.0,4.0,2.0,9.0,7.0
12,Gerritsen Beach,2.0,0.0,0.0,0.0,1.0,0.0
13,Port Ivory,0.0,0.0,0.0,0.0,0.0,0.0
14,Soundview,49.0,7.0,3.0,2.0,12.0,7.0
15,Astoria,211.0,28.0,22.0,15.0,20.0,20.0
16,Bath Beach,29.0,7.0,3.0,7.0,3.0,5.0
17,Bayside,57.0,2.0,5.0,2.0,14.0,3.0
18,Battery Park City,36.0,14.0,5.0,12.0,1.0,6.0
19,Bay Terrace,29.0,4.0,3.0,5.0,2.0,7.0
20,"Bay Terrace, Staten Island",0.0,0.0,0.0,0.0,0.0,0.0
21,Baychester,10.0,1.0,0.0,1.0,3.0,2.0
22,Bayswater,3.0,0.0,0.0,0.0,1.0,0.0
23,Bedford-Stuyvesant,204.0,18.0,20.0,23.0,17.0,16.0
24,Belle Harbor,5.0,1.0,1.0,1.0,1.0,0.0
25,Bellerose,13.0,2.0,3.0,0.0,3.0,0.0
26,Bensonhurst,83.0,9.0,15.0,9.0,6.0,12.0
27,Bergen Beach,16.0,3.0,1.0,3.0,2.0,2.0
28,Bloomfield,0.0,0.0,0.0,0.0,0.0,0.0
