nbhId,neighbourhood_group,Bus Stop,Subway Entrance
Bayswater,Manhattan,0,1
Allerton,Manhattan,23,5
City Island,Brooklyn,2,0
Ditmars Steinway,Brooklyn,29,6
Ozone Park,Brooklyn,25,14
Fordham,Manhattan,29,20
Whitestone,Manhattan,16,0
Arden Heights,Manhattan,8,0
Arrochar,Brooklyn,8,0
Arverne,Manhattan,4,8
Bay Ridge,Manhattan,12,7
Belmont,Manhattan,13,0
Gerritsen Beach,Brooklyn,4,0
Port Ivory,0,0,0
Soundview,Manhattan,19,3
Astoria,Manhattan,44,16
Bath Beach,Brooklyn,8,3
Bayside,Brooklyn,22,0
Battery Park City,Manhattan,3,0
Bay Terrace,Brooklyn,14,0
"Bay Terrace, Staten Island",Manhattan,1,2
Baychester,Brooklyn,10,0
Bayswater,Manhattan,0,1
Bedford-Stuyvesant,Brooklyn,90,41
Belle Harbor,Manhattan,1,0
Bellerose,Manhattan,15,0
Bensonhurst,Brooklyn,14,18
Bergen Beach,Manhattan,5,0
Bloomfield,0,0,0
Boerum Hill,Manhattan,6,6
Borough Park,Manhattan,29,32
Brighton Beach,Manhattan,25,19
Prospect-Lefferts Gardens,Manhattan,24,8
Mott Haven,Manhattan,24,31
Bronxdale,Brooklyn,6,3
Breezy Point,Brooklyn,1,0
Briarwood,Brooklyn,8,6
Brooklyn Heights,Manhattan,4,9
Brownsville,Brooklyn,40,14
Bull's Head,Manhattan,8,0
Bushwick,Manhattan,19,26
Cambria Heights,Manhattan,8,0
"Chelsea, Staten Island",0,1,0
Chinatown,Manhattan,6,7
City Island,Brooklyn,2,0
Cypress Hills,Brooklyn,16,12
Canarsie,Manhattan,23,5
Carroll Gardens,Manhattan,3,5
Castle Hill,Brooklyn,7,0
Castleton Corners,Brooklyn,7,0
Grant City,Manhattan,2,3
Charleston,0,1,0
Chelsea,Manhattan,24,70
Civic Center,Manhattan,1,12
Claremont Village,Brooklyn,15,3
Clason Point,Manhattan,6,0
Clifton,Brooklyn,11,2
Clinton Hill,Manhattan,9,15
Co-op City,Brooklyn,28,0
Cobble Hill,Manhattan,2,3
College Point,Manhattan,17,0
Crown Heights,Manhattan,61,20
Columbia St,Brooklyn,4,0
Concord,Brooklyn,6,3
Concourse,Manhattan,8,23
Concourse Village,Brooklyn,15,3
Coney Island,Brooklyn,13,0
Corona,Manhattan,18,5
Mount Eden,Queens,1,8
Jamaica Hills,Brooklyn,8,3
Country Club,0,0,0
Mount Hope,Brooklyn,12,11
DUMBO,Brooklyn,1,0
Dongan Hills,Manhattan,5,4
Douglaston,Brooklyn,1,0
Downtown Brooklyn,Manhattan,23,37
Dyker Heights,Manhattan,16,0
Glen Oaks,0,7,0
East Elmhurst,Manhattan,32,0
East Flatbush,Manhattan,45,16
East Harlem,Brooklyn,63,17
East Morrisania,Brooklyn,8,8
Eltingville,Manhattan,9,2
Emerson Hill,Manhattan,2,0
Elmhurst,Brooklyn,27,20
Fieldston,Brooklyn,2,2
East New York,Brooklyn,52,26
East Village,Manhattan,32,14
Eastchester,Manhattan,9,3
Edenwald,Manhattan,12,0
Edgemere,Brooklyn,9,8
Glendale,Manhattan,12,2
Far Rockaway,Bronx,9,3
Jamaica Estates,Manhattan,17,8
Financial District,Brooklyn,14,68
Flatbush,Manhattan,21,12
Flatiron District,Brooklyn,8,21
Flatlands,Manhattan,15,0
Laurelton,Brooklyn,7,0
Shore Acres,Brooklyn,3,0
Flushing,Manhattan,122,11
Gowanus,Manhattan,0,6
Forest Hills,Brooklyn,29,14
Fort Greene,Manhattan,15,19
Fort Hamilton,Manhattan,15,7
Fort Wadsworth,Manhattan,0,0
Fresh Meadows,Brooklyn,20,0
Gramercy,Brooklyn,10,8
